id,review_text,date,rating,expected_sentiment,expected_category,expected_priority
12,It's a note-taking app. It does note-taking things.,2025-03-21,2,Neutral,Praise,Low
15,Everything runs so slow. Even scrolling is choppy.,2025-05-03,1,Negative,Performance,High
18,Recommended this to all my friends. Everyone loves it.,2026-10-01,5,Positive,Praise,Low
20,Five stars! The team behind this app really cares.,2025-08-06,5,Positive,Praise,Low
27,Why did you move the keyboard shortcuts button? It was fine before.,2025-11-27,1,Negative,UX / Design,Medium
31,Constant crashes when using widgets. Very frustrating.,2025-07-19,1,Negative,Bug / Crash,Critical
45,I cancelled but was still charged. Want my money back.,2025-04-20,1,Negative,Pricing / Billing,High
47,This app is a game changer. So much better than competing products.,2025-06-25,5,Positive,Praise,Low
57,I was charged twice this month. No response from support.,2026-02-01,1,Negative,Pricing / Billing,High
62,Love the attention to detail in this app. Everything just works.,2025-07-09,5,Positive,Praise,Low
63,This is what every app should aspire to be. Perfect.,2025-01-11,5,Positive,Praise,Low
68,I've tried 48 other apps and this is by far the best one.,2026-07-01,5,Positive,Praise,Low
70,First review on the App Store. Seems fine so far.,2026-07-07,3,Neutral,Praise,Low
72,Meh. It's fine for what it is.,2025-02-24,3,Neutral,Praise,Low
80,Why did you move the collaboration button? It was fine before.,2025-08-20,2,Negative,UX / Design,Medium
86,Standard organization app. Nothing stands out.,2025-05-28,3,Neutral,Praise,Low
88,This is what every app should aspire to be. Perfect.,2026-11-12,5,Positive,Praise,Low
95,"Works as advertised. No complaints, no excitement.",2025-02-06,3,Neutral,Praise,Low
98,Been using this for 18 months and it just keeps getting better.,2026-03-06,4,Positive,Praise,Low
120,Decent app. Does what it says.,2026-06-11,3,Neutral,Praise,Low
124,App crashes on startup since the last update. Can't even open it.,2025-12-03,2,Negative,Bug / Crash,Critical
137,Amazing app! It makes sync so much easier.,2025-12-01,5,Positive,Praise,Low
147,The premium features are not worth the $8/month price tag.,2025-10-24,1,Negative,Pricing / Billing,High
149,The best $8 I spend every month. Worth every penny.,2025-09-01,5,Positive,Praise,Low
158,Recommended this to all my friends. Everyone loves it.,2025-08-22,3,Positive,Praise,Low
174,It does the basics. voice input would be a nice addition.,2026-07-09,2,Neutral,Feature Request,Low
176,"Clean, intuitive, and fast. Exactly what an app should be.",2026-08-01,5,Positive,Praise,Low
182,App froze and I lost 19 minutes of work. Not cool.,2025-01-21,3,Negative,Bug / Crash,Critical
