id,review_text,date,rating,expected_sentiment,expected_category,expected_priority
1,Amazing app! It makes sync so much easier.,2025-12-27,4,Positive,Praise,Low
2,Solid app. The only thing missing is the ability to check notifications.,2025-11-20,3,Positive,Feature Request,Medium
3,Had to watch YouTube videos just to learn basic check notifications.,2026-01-04,1,Negative,Onboarding,Medium
4,"Average app. Not bad, not great.",2025-05-25,3,Neutral,Praise,Low
5,The premium features are not worth the $30/month price tag.,2026-04-03,2,Negative,Pricing / Billing,High
6,Crash after crash after crash. When will you fix this?,2025-05-01,1,Negative,Bug / Crash,Critical
7,"Love it, but please add offline mode. That would make it perfect.",2025-09-25,5,Positive,Feature Request,Medium
8,The premium features are not worth the $5/month price tag.,2025-12-27,3,Negative,Pricing / Billing,High
9,I've been using the app for 48 days and still feel lost.,2026-06-26,1,Negative,Onboarding,Medium
10,I've tried 36 other apps and this is by far the best one.,2025-07-06,5,Positive,Praise,Low
11,Recommended this to all my friends. Everyone loves it.,2025-04-28,3,Positive,Praise,Low
12,It's a note-taking app. It does note-taking things.,2025-03-21,2,Neutral,Praise,Low
13,First review on the App Store. Seems fine so far.,2025-10-24,3,Neutral,Praise,Low
14,"Clean, intuitive, and fast. Exactly what an app should be.",2025-07-01,5,Positive,Praise,Low
15,Everything runs so slow. Even scrolling is choppy.,2025-05-03,1,Negative,Performance,High
16,The app is amazing. My only wish is cloud backup integration.,2025-02-03,5,Positive,Feature Request,Low
17,$15/month for this? Are you kidding me?,2025-11-22,3,Negative,Pricing / Billing,High
18,Recommended this to all my friends. Everyone loves it.,2026-10-01,5,Positive,Praise,Low
19,"Best app I've used in years. Simple, fast, and reliable.",2025-11-26,4,Positive,Praise,Low
20,Five stars! The team behind this app really cares.,2025-08-06,5,Positive,Praise,Low
21,Screen goes black whenever I search. Bug has been there for weeks.,2025-09-21,1,Negative,Bug / Crash,Critical
22,Amazing app! It makes sign up so much easier.,2025-11-10,5,Positive,Praise,Low
23,It's OK I guess. Nothing special but it works.,2025-12-12,2,Neutral,Praise,Low
24,Could you consider adding Apple Watch support? Just a suggestion.,2025-07-02,2,Neutral,Feature Request,Low
25,Hidden fees everywhere. This is not transparent pricing.,2025-08-25,2,Negative,Pricing / Billing,High
26,I've tried 38 other apps and this is by far the best one.,2025-12-17,4,Positive,Praise,Low
